Name,Code
AFM-Téléthon,not_found
ALS Association,41___BRITISH_ARTS_FESTIVALS_ASSOCIATION_(LONDON)
Academia Sinica,41___ACADEMIA_SINICA_INSTITUTE_OF_ASTRONOMY_AND_ASTROPHYSICS_(TAIPEI)
Academy of Finland,not_found
Administration for Community Living,41___ADMINISTRATION_FOR_COMMUNITY_LIVING_(WASHINGTON_D.C.)
Advanced Scientific Computing Research,41___ADVANCED_SCIENTIFIC_COMPUTING_RESEARCH_(WASHINGTON_D.C.)
Agence Nationale de la Recherche,41___AGENCE_NATIONALE_DE_LA_RECHERCHE_(PARIS)
Agencia Estatal de Investigación,41___AGENCIA_ESTATAL_DE_INVESTIGACIÓN_(MADRID)
Agencia Nacional de Investigación y Desarrollo,41___AGENCIA_NACIONAL_DE_INVESTIGACIÓN_Y_DESARROLLO_(SANTIAGO)
Agencia Nacional de Promoción Científica y Tecnológica,not_found
Agency for Healthcare Research and Quality,41___AGENCY_FOR_HEALTHCARE_RESEARCH_AND_QUALITY_(ROCKVILLE)
Agència de Gestió d'Ajuts Universitaris i de Recerca,41___AGENCY_FOR_ADMINISTRATION_OF_UNIVERSITY_AND_RESEARCH_(BARCELONA)
Air Force Office of Scientific Research,41___UNITED_STATES_AIR_FORCE_OFFICE_OF_SCIENTIFIC_RESEARCH_(ARLINGTON)
"Albert Einstein College of Medicine, Yeshiva University",not_found
Alfred P. Sloan Foundation,41___ALFRED_P._SLOAN_FOUNDATION_(NEW_YORK)
Alphawood Foundation,41___ALPHAWOOD_FOUNDATION_(CHICAGO)
Alzheimer's Association,41___ALZHEIMER'S_ASSOCIATION_OF_ISRAEL_(RAMAT_GAN)
American Cancer Society,41___AMERICAN_CANCER_SOCIETY_(ATLANTA)
American Chemical Society Petroleum Research Fund,not_found
American Federation for Aging Research,41___AMERICAN_FEDERATION_FOR_AGING_RESEARCH_(NEW_YORK)
American Heart Association,41___AMERICAN_HEART_ASSOCIATION_(DALLAS)
American Institute of Physics,41___AMERICAN_INSTITUTE_OF_PHYSICS_(COLLEGE_PARK)
American Philosophical Society,41___AMERICAN_PHILOSOPHICAL_SOCIETY_(PHILADELPHIA)
American Sheep Industry Association,41___AMERICAN_SHEEP_INDUSTRY_ASSOCIATION_(ENGLEWOOD)
Andrew W. Mellon Foundation,41___ANDREW_W._MELLON_FOUNDATION_(NEW_YORK)
Army Research Laboratory,41___UNITED_STATES_ARMY_RESEARCH_LABORATORY_(ADELPHI)
Army Research Office,41___UNITED_STATES_ARMY_RESEARCH_OFFICE_(DURHAM)
Arnold and Mabel Beckman Foundation,41___ARNOLD_AND_MABEL_BECKMAN_FOUNDATION_(IRVINE)
Asia-Pacific Network for Global Change Research,41___ASIA-PACIFIC_NETWORK_FOR_GLOBAL_CHANGE_RESEARCH_(KOBE)
Australian Research Council,41___AUSTRALIAN_RESEARCH_COUNCIL_(CANBERRA)
Basic Energy Sciences,41___BASIC_ENERGY_SCIENCES_(WASHINGTON_D.C.)
Basic and Applied Basic Research Foundation of Guangdong Province,not_found
Beijing Normal University,41___BEIJING_NORMAL_UNIVERSITY_(BEIJING)
Bill and Melinda Gates Foundation,not_found
BioXFEL Science and Technology Center,41___BIOXFEL_SCIENCE_AND_TECHNOLOGY_CENTER_(BUFFALO)
Bioenergy Technologies Office,41___BIOENERGY_TECHNOLOGIES_OFFICE_(WASHINGTON)
Biotechnology and Biological Sciences Research Council,41___BIOTECHNOLOGY_AND_BIOLOGICAL_SCIENCES_RESEARCH_COUNCIL_(SWINDON)
Blazeman Foundation for ALS,41___BLAZEMAN_FOUNDATION_FOR_ALS_(BARRINGTON)
Blue Cross Blue Shield of Massachusetts Foundation,not_found
Bonfils-Stanton Foundation,41___BONFILS-STANTON_FOUNDATION_(DENVER)
Boston University,41___BOSTON_UNIVERSITY_ACADEMY_(BOSTON)
Brain and Behavior Research Foundation,not_found
Brandeis University,41___BRANDEIS_UNIVERSITY_(WALTHAM)
Brown University,41___BROWN_UNIVERSITY_(PROVIDENCE)
Bundesministerium für Bildung und Forschung,not_found
"Bundesministerium für Bildung, Wissenschaft und Forschung",not_found
"Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie",not_found
Bureau of Justice Assistance,not_found
Burroughs Wellcome Fund,41___BURROUGHS_WELLCOME_FUND_(DURHAM)
California Department of Fish and Game,not_found
California Institute of Technology,41___CALIFORNIA_INSTITUTE_OF_TECHNOLOGY_(PASADENA)
Calouste Gulbenkian Foundation,41___CALOUSTE_GULBENKIAN_FOUNDATION_(LISBON)
Camille and Henry Dreyfus Foundation,41___CAMILLE_AND_HENRY_DREYFUS_FOUNDATION_(NEW_YORK)
Canada Research Chairs,41___CANADA_RESEARCH_CHAIRS_(OTTAWA)
Canadian Institutes of Health Research,41___CANADIAN_INSTITUTES_OF_HEALTH_RESEARCH_(OTTAWA)
Cancer Prevention and Research Institute of Texas,41___CANCER_PREVENTION_AND_RESEARCH_INSTITUTE_OF_TEXAS_(AUSTIN)
Cancer Research UK,41___CAMBRIDGE_CENTRE_(CAMBRIDGE)
Cancéropôle Ile de France,not_found
Carlsbergfondet,not_found
Carnegie Corporation of New York,41___CARNEGIE_CORPORATION_OF_NEW_YORK_(NEW_YORK)
"Center for AIDS Research, Johns Hopkins University",not_found
Center for Information Technology,41___BONN_AACHEN_INTERNATIONAL_CENTER_FOR_INFORMATION_TECHNOLOGY_(BONN)
Center for Substance Abuse Prevention,not_found
Center for Substance Abuse Treatment,not_found
Centers for Disease Control and Prevention,41___CENTERS_FOR_DISEASE_CONTROL_AND_PREVENTION_(NAIROBI)
Centers for Medicare and Medicaid Services,41___CENTERS_FOR_MEDICARE_AND_MEDICAID_SERVICES_(BALTIMORE)
Central University Basic Research Fund of China,not_found
Centre National de la Recherche Scientifique,41___CENTRE_NATIONAL_DE_LA_RECHERCHE_SCIENTIFIQUE_ET_TECHNOLOGIQUE_(OUAGADOUGOU)
Chicago Community Trust,41___CHICAGO_COMMUNITY_TRUST_(CHICAGO)
China Medical Board,41___CHINA_MEDICAL_BOARD_(CAMBRIDGE)
China Medical University Hospital,41___CHINA_MEDICAL_UNIVERSITY_HOSPITAL_(TAICHUNG)
"China Medical University, Taiwan",not_found
China Postdoctoral Science Foundation,41___CHINA_POSTDOCTORAL_SCIENCE_FOUNDATION_(BEIJING)
China Scholarship Council,41___CHINA_SCHOLARSHIP_COUNCIL_(BEIJING)
Chinese Academy of Agricultural Sciences,41___CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCES_(BEIJING)
Chinese Academy of Medical Sciences,41___CANCER_HOSPITAL_OF_CHINESE_ACADEMY_OF_MEDICAL_SCIENCES_(BEIJING)
Chinese Academy of Sciences,"41___CHENGDU_BRANCH,_CHINESE_ACADEMY_OF_SCIENCES_(CHENGDU)"
Colgate University,41___COLGATE_UNIVERSITY_(HAMILTON)
College and Graduate School of Arts and Sciences,not_found
Columbia University,41___COLUMBIA_UNIVERSITY_MEDICAL_CENTER_(NEW_YORK)
Comisión Nacional de Investigación Científica y Tecnológica,41___COMISIÓN_NACIONAL_DE_INVESTIGACIÓN_CIENTÍFICA_Y_TECNOLÓGICA_(SANTIAGO)
Common Fund,41___COMMON_FUND_FOR_COMMODITIES_(AMSTERDAM)
Compagnia di San Paolo,41___COMPAGNIA_DI_SAN_PAOLO_(TURIN)
Conrad N. Hilton Foundation,41___CONRAD_N._HILTON_FOUNDATION_(AGOURA_HILLS)
Consejo Nacional de Ciencia y Tecnología,41___CONSEJO_NACIONAL_DE_CIENCIA_Y_TECNOLOGÍA_(GUATEMALA_CITY)
Consejo Nacional de Investigaciones Científicas y Técnicas,41___NATIONAL_SCIENTIFIC_AND_TECHNICAL_RESEARCH_COUNCIL_(BUENOS_AIRES)
Conselho Nacional de Desenvolvimento Científico e Tecnológico,not_found
"Consumers, Health, Agriculture and Food Executive Agency","41___CONSUMERS,_HEALTH,_AGRICULTURE_AND_FOOD_EXECUTIVE_AGENCY_(LUXEMBOURG)"
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,not_found
Corporation for National and Community Service,not_found
Council on Social Work Education,41___COUNCIL_ON_SOCIAL_WORK_EDUCATION_(ALEXANDRIA)
Council on grants of the President of the Russian Federation,not_found
Damon Runyon Cancer Research Foundation,41___DAMON_RUNYON_CANCER_RESEARCH_FOUNDATION_(NEW_YORK)
David and Lucile Packard Foundation,41___DAVID_AND_LUCILE_PACKARD_FOUNDATION_(LOS_ALTOS)
DeGregorio Family Foundation,41___DEGREGORIO_FAMILY_FOUNDATION_(PLEASANTVILLE)
Defense Advanced Research Projects Agency,41___DEFENSE_ADVANCED_RESEARCH_PROJECTS_AGENCY_(ARLINGTON)
Defense Health Agency,41___DEFENSE_HEALTH_AGENCY_(FALLS_CHURCH)
Defense Threat Reduction Agency,41___DEFENSE_THREAT_REDUCTION_AGENCY_(FORT_BELVOIR)
"Department of Atomic Energy, Government of India",not_found
"Department of Biotechnology, Ministry of Science and Technology, India",not_found
"Department of Science and Technology, Ministry of Science and Technology, India",not_found
"Department of Science and Technology, Republic of South Africa",not_found
Deutsche Forschungsgemeinschaft,41___DEUTSCHE_FORSCHUNGSGEMEINSCHAFT_(BONN)
Directorate for Biological Sciences,41___DIRECTORATE_FOR_BIOLOGICAL_SCIENCES_(ARLINGTON)
Directorate for Computer and Information Science and Engineering,not_found
Directorate for Mathematical and Physical Sciences,not_found
"Directorate for Social, Behavioral and Economic Sciences",not_found
Division of Advanced Cyberinfrastructure,41___DIVISION_OF_ADVANCED_CYBERINFRASTRUCTURE_(ARLINGTON)
Division of Biological Infrastructure,41___DIVISION_OF_BIOLOGICAL_INFRASTRUCTURE_(ARLINGTON)
"Division of Cancer Epidemiology and Genetics, National Cancer Institute",not_found
"Division of Chemical, Bioengineering, Environmental, and Transport Systems","41___DIVISION_OF_CHEMICAL,_BIOENGINEERING,_ENVIRONMENTAL,_AND_TRANSPORT_SYSTEMS_(ARLINGTON)"
Division of Chemistry,41___DIVISION_OF_CHEMISTRY_(ARLINGTON)
"Division of Civil, Mechanical and Manufacturing Innovation",not_found
Division of Computing and Communication Foundations,41___DIVISION_OF_COMPUTING_AND_COMMUNICATION_FOUNDATIONS_(ARLINGTON)
"Division of Electrical, Communications and Cyber Systems",not_found
Division of Emerging Frontiers,not_found
Division of Graduate Education,41___DIVISION_OF_GRADUATE_EDUCATION_(ARLINGTON)
Division of Industrial Innovation and Partnerships,not_found
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",not_found
Division of Materials Research,41___DIVISION_OF_MATERIALS_RESEARCH_(ARLINGTON)
Division of Mathematical Sciences,41___DIVISION_OF_MATHEMATICAL_SCIENCES_(ARLINGTON)
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases",not_found
Division of Molecular and Cellular Biosciences,not_found
Division of Ocean Sciences,41___DIVISION_OF_OCEAN_SCIENCES_(ARLINGTON)
Division of Social and Economic Sciences,41___DIVISION_OF_SOCIAL_AND_ECONOMIC_SCIENCES_(ARLINGTON)
Division of Undergraduate Education,41___DIVISION_OF_UNDERGRADUATE_EDUCATION_(ARLINGTON)
Dumbarton Oaks Research Library and Collection,not_found
Economic and Social Research Council,41___ECONOMIC_AND_SOCIAL_RESEARCH_COUNCIL_(SWINDON)
Edge Hill University,41___EDGE_HILL_UNIVERSITY_(ORMSKIRK)
Engineering and Physical Sciences Research Council,41___ENGINEERING_AND_PHYSICAL_SCIENCES_RESEARCH_COUNCIL_(SWINDON)
Enhancing Learning and Research for Humanitarian Assistance,not_found
Esther A. and Joseph Klingenstein Fund,not_found
Eunice Kennedy Shriver National Institute of Child Health and Human Development,41___NATIONAL_INSTITUTE_OF_CHILD_HEALTH_AND_HUMAN_DEVELOPMENT_(BETHESDA)
European Commission,41___EUROPEAN_COMMISSION_(BRUSSELS)
European Molecular Biology Organization,41___EUROPEAN_MOLECULAR_BIOLOGY_ORGANIZATION_(HEIDELBERG)
European Research Council,41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS)
European Southern Observatory,41___EUROPEAN_SOUTHERN_OBSERVATORY_(SANTIAGO)
European Space Agency,41___EUROPEAN_SPACE_AGENCY_(PARIS)
Eusko Jaurlaritza,not_found
Explorers Club,41___EXPLORERS_CLUB_(NEW_YORK)
Facebook,not_found
Federación Española de Enfermedades Raras,41___FEDERACIÓN_ESPAÑOLA_DE_ENFERMEDADES_RARAS_(SEVILLE)
Fermilab,41___FERMILAB_ACCELERATOR_COMPLEX_(BATAVIA)
Fetzer Institute,41___FETZER_INSTITUTE_(KALAMAZOO)
Fiducie de Recherche sur la Foret des Cantons-de-l'Est,not_found
Fondation ARC pour la Recherche sur le Cancer,41___FONDATION_ARC_POUR_LA_RECHERCHE_SUR_LE_CANCER_(VILLEJUIF)
Fondation pour la Recherche Médicale,41___FONDATION_POUR_LA_RECHERCHE_MÉDICALE_(PARIS)
Fondazione Cariplo,41___FONDAZIONE_CARIPLO_(MILAN)
Fondo Nacional de Desarrollo Científico y Tecnológico,41___FONDO_NACIONAL_DE_DESARROLLO_CIENTÍFICO_Y_TECNOLÓGICO_(SANTIAGO)
"Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica",not_found
Fondo para la Investigación Científica y Tecnológica,not_found
Fonds De La Recherche Scientifique - FNRS,not_found
Fonds National de la Recherche Luxembourg,not_found
Fonds Wetenschappelijk Onderzoek,not_found
Ford Foundation,41___EDWARD_E._FORD_FOUNDATION_(BROOKLYN)
"Forskningsrådet om Hälsa, Arbetsliv och Välfärd",not_found
Foundation for the National Institutes of Health,41___FOUNDATION_FOR_THE_NATIONAL_INSTITUTES_OF_HEALTH_(BETHESDA)
Fundación BBVA,41___FUNDACIÓN_BBVA_(MADRID)
Fundamental Research Funds for the Central Universities,not_found
Fundação de Amparo à Pesquisa do Estado de São Paulo,41___SÃO_PAULO_RESEARCH_FOUNDATION_(SÃO_PAULO)
Fundação para a Ciência e a Tecnologia,not_found
Generalitat Valenciana,"41___CONSELLERIA_DE_CULTURA,_EDUCACIÓN_Y_CIENCIA,_GENERALITAT_VALENCIANA_(VALENCIA)"
Generalitat de Catalunya,41___MINISTRY_OF_THE_VICE-PRESIDENCY_AND_OF_THE_ECONOMY_AND_FINANCE_(BARCELONA)
Global Challenges Research Fund,not_found
"Global Fund to Fight AIDS, Tuberculosis and Malaria","41___GLOBAL_FUND_TO_FIGHT_AIDS,_TUBERCULOSIS_AND_MALARIA_(LE_GRAND-SACONNEX)"
Google,41___GOOGLE_(CANADA)_(WATERLOO)
Gordon and Betty Moore Foundation,41___GORDON_AND_BETTY_MOORE_FOUNDATION_(PALO_ALTO)
Grand Challenges Canada,41___GRAND_CHALLENGES_CANADA_(TORONTO)
Grantová Agentura České Republiky,not_found
Guangxi Key Laboratory of Automatic Detection Technology and Instrument Foundation,not_found
H2020 European Research Council,not_found
H2020 Marie Skłodowska-Curie Actions,not_found
HORIZON EUROPE European Research Council,not_found
HORIZON EUROPE Marie Sklodowska-Curie Actions,not_found
Hanyang University,41___HANYANG_UNIVERSITY_GURI_HOSPITAL_(GURI-SI)
Harbin Medical University Cancer Hospital,not_found
Harvard Catalyst,not_found
Health Resources and Services Administration,41___HEALTH_RESOURCES_AND_SERVICES_ADMINISTRATION_(ROCKVILLE)
Health Services Research and Development,not_found
Heising-Simons Foundation,41___HEISING-SIMONS_FOUNDATION_(LOS_ALTOS)
Heller School for Social Policy and Management,not_found
Henry Luce Foundation,41___HENRY_LUCE_FOUNDATION_(NEW_YORK)
High Energy Physics,41___INSTITUTE_FOR_HIGH_ENERGY_PHYSICS_(PROTVINO)
Hjärnfonden,41___HJÄRNFONDEN_(STOCKHOLM)
Horizon 2020,not_found
Horizon 2020 Framework Programme,not_found
Howard Hughes Medical Institute,41___HOWARD_HUGHES_MEDICAL_INSTITUTE_(CHEVY_CHASE)
Human Frontier Science Program,41___INTERNATIONAL_HUMAN_FRONTIER_SCIENCE_PROGRAM_ORGANIZATION_(STRASBOURG)
Hungarian Scientific Research Fund,41___HUNGARIAN_SCIENTIFIC_RESEARCH_FUND_(BUDAPEST)
Indian Council of Medical Research,41___INDIAN_COUNCIL_OF_MEDICAL_RESEARCH_(NEW_DELHI)
Indo-US Science and Technology Forum,41___INDO-US_SCIENCE_AND_TECHNOLOGY_FORUM_(NEW_DELHI)
Innovative Research Group Project of the National Natural Science Foundation of China,not_found
Institut National Du Cancer,not_found
Institut de Ciències del Cosmos,41___INSTITUT_DE_CIÈNCIES_DEL_COSMOS_(BARCELONA)
Institut sur la Nutrition et les Aliments Fonctionnels,not_found
Institute for Basic Science,41___INSTITUTE_FOR_BASIC_SCIENCE_(DAEJEON)
Institute for New Economic Thinking,41___INSTITUTE_FOR_NEW_ECONOMIC_THINKING_(NEW_YORK)
Institute of Education Sciences,41___INSTITUTE_OF_EDUCATION_SCIENCES_(WASHINGTON_D.C.)
Institute of Food Technologists,41___INSTITUTE_OF_FOOD_TECHNOLOGISTS_(CHICAGO)
Instituto Nacional de Ciência e Tecnologia do Café,not_found
Instituto Nazionale di Fisica Nucleare,not_found
Integrative and Collaborative Education and Research,not_found
Iowa Science Foundation,not_found
Iran University of Medical Sciences,41___IRAN_UNIVERSITY_OF_MEDICAL_SCIENCES_(TEHRAN)
Israel National Road Safety Authority,41___ISRAEL_NATIONAL_ROAD_SAFETY_AUTHORITY_(JERUSALEM)
Israel Science Foundation,41___ISRAEL_SCIENCE_FOUNDATION_(JERUSALEM)
Istituto Nazionale di Fisica Nucleare Sezione di Padova,not_found
James S. McDonnell Foundation,41___JAMES_S._MCDONNELL_FOUNDATION_(ST_LOUIS)
Japan Society for the Promotion of Science,41___JAPAN_SOCIETY_FOR_THE_PROMOTION_OF_SCIENCE_(TOKYO)
Javna Agencija za Raziskovalno Dejavnost RS,not_found
Jet Propulsion Laboratory,41___JET_PROPULSION_LAB_(LA_CAÑADA_FLINTRIDGE)
